STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"Kevin Durant
(OKL)",Remove,F,25,7,81,38.5,32,7.4,5.5,0.7,1.3,0.55,0.39,0.87,0.7,6.7,3.5,2.2,93,43.4,1.13
"Kevin Love
(CLE)",Remove,FC,26,6,77,36.3,26.1,12.5,4.5,0.5,0.8,0.5,0.38,0.82,2.9,9.6,2.5,6,96,41.8,1.15
"LeBron James
(CLE)",Remove,F,29,11,77,37.7,27.1,6.9,6.3,0.3,1.6,0.62,0.38,0.75,1.1,5.9,3.5,3.8,93,38.8,1.03
"Carmelo Anthony *
(NYK)",Remove,F,30,11,77,38.7,27.4,8.1,3.1,0.7,1.2,0.47,0.4,0.85,1.9,6.2,2.6,10.5,96,37.9,0.98
"LaMarcus Aldridge
(POR)",Remove,FC,29,8,69,36.2,23.2,11.1,2.6,1,0.9,0.46,0.2,0.82,2.4,8.7,1.8,7.5,96,37.1,1.03
"DeMarcus Cousins
(SAC)",Remove,C,24,4,71,32.4,22.7,11.7,2.9,1.3,1.5,0.5,0,0.73,3.1,8.6,3.5,8.3,93,36.6,1.13
"Blake Griffin
(LAC)",Remove,F,25,4,80,35.8,24.1,9.5,3.8,0.6,1.1,0.54,0.27,0.72,2.4,7.1,2.8,9,89,36.4,1.02
"Al Jefferson
(CHA)",Remove,C,29,10,73,35.1,21.8,10.8,2.1,1.1,0.9,0.51,0.2,0.69,2.1,8.7,1.7,13,93,35.1,1
"Stephen Curry
(GSW)",Remove,G,26,5,78,36.4,24,4.3,8.5,0.2,1.7,0.51,0.42,0.89,0.6,3.7,3.8,8.7,93,34.9,0.96
"Anthony Davis *
(NOR)",Remove,FC,21,2,67,35.2,20.8,10,1.6,2.8,1.3,0.52,0.22,0.79,3.1,7,1.6,5.5,93,34.9,0.99
"James Harden
(HOU)",Remove,G,25,5,73,38.1,25.4,4.7,6.1,0.4,1.6,0.52,0.37,0.87,0.8,3.9,3.6,10.2,89,34.5,0.91
"Chris Paul
(LAC)",Remove,G,29,9,62,35,19.1,4.3,10.7,0.1,2.5,0.5,0.37,0.86,0.6,3.7,2.3,8.6,93,34.3,0.98
"Russell Westbrook
(OKL)",Remove,G,25,6,46,30.6,21.8,5.7,6.9,0.2,1.9,0.48,0.32,0.83,1.2,4.5,3.8,11.4,89,32.7,1.07
"Dwight Howard
(HOU)",Add,C,28,10,71,33.7,18.3,12.2,1.8,1.8,0.8,0.59,0.29,0.55,3.3,8.9,3.2,12.1,89,31.7,0.94
"Paul George *
(IND)",Remove,GF,24,4,80,36.3,21.7,6.8,3.5,0.3,1.9,0.46,0.36,0.86,0.8,6,2.8,129.3,58,31.4,0.87
"John Wall
(WAS)",Remove,G,24,4,82,36.3,19.3,4.1,8.8,0.5,1.8,0.46,0.35,0.8,0.5,3.6,3.6,16.8,93,30.8,0.85
"Dirk Nowitzki
(DAL)",Remove,F,36,16,80,32.8,21.7,6.2,2.7,0.6,0.9,0.53,0.4,0.9,0.5,5.7,1.5,22.6,96,30.6,0.93
"DeMar DeRozan
(TOR)",Remove,GF,25,5,79,38.2,22.7,4.3,4,0.4,1.1,0.45,0.3,0.82,0.6,3.7,2.2,27.1,93,30.2,0.79
"Pau Gasol *
(CHI)",Remove,FC,34,13,60,31.4,17.4,9.7,3.4,1.5,0.4,0.48,0.29,0.74,2.1,7.6,2.4,24.6,93,30,0.96
"Paul Millsap
(ATL)",Remove,F,29,8,74,33.5,17.9,8.5,3.1,1.1,1.7,0.49,0.36,0.73,2.1,6.4,2.5,25.7,93,29.9,0.89
"Al Horford *
(ATL)",Add,FC,28,7,29,33.1,18.6,8.4,2.6,1.5,0.9,0.57,0.36,0.68,2.3,6.1,2.2,24.8,93,29.8,0.9
"Kyrie Irving
(CLE)",Remove,G,22,3,71,35.2,20.8,3.6,6.1,0.3,1.5,0.46,0.36,0.86,0.7,2.9,2.7,25.2,93,29.7,0.84
"Joakim Noah *
(CHI)",Remove,C,29,7,80,35.2,12.6,11.3,5.4,1.5,1.2,0.48,0,0.74,3.5,7.7,2.4,22.8,96,29.6,0.84
"Kyle Lowry
(TOR)",Remove,G,28,8,79,36.2,17.9,4.7,7.4,0.2,1.5,0.46,0.38,0.81,1.1,3.6,2.5,28.7,93,29.3,0.81
"Andre Drummond
(DET)",Remove,C,21,2,81,32.3,13.5,13.2,0.4,1.6,1.3,0.62,0,0.42,5.4,7.8,1.3,17.6,93,28.7,0.89
"Zach Randolph
(MEM)",Remove,F,33,13,79,34.3,17.4,10.1,2.5,0.3,0.7,0.47,0.1,0.74,3.4,6.7,2.3,37.2,89,28.6,0.83
"David Lee
(GSW)",Add,F,31,9,69,33.2,18.2,9.3,2.1,0.4,0.7,0.52,0,0.78,2.7,6.7,2.2,35.9,93,28.5,0.86
"Ty Lawson
(DEN)",Remove,G,26,5,62,35.9,17.6,3.5,8.8,0.2,1.6,0.46,0.36,0.8,0.7,2.8,3.2,39.6,89,28.4,0.79
"Damian Lillard
(POR)",Remove,G,24,2,82,35.8,20.7,3.5,5.5,0.3,0.8,0.45,0.39,0.87,0.4,3.1,2.4,23,93,28.4,0.79
"Brook Lopez *
(BKL)",Remove,C,26,6,17,31.4,20.7,6,0.9,1.8,0.5,0.57,0,0.82,2.3,3.7,1.6,37,93,28.3,0.9
"Goran Dragic
(PHO)",Remove,G,28,6,76,35.1,20.3,3.2,5.9,0.3,1.4,0.54,0.41,0.76,0.9,2.3,2.8,34.7,96,28.3,0.81
"Tim Duncan
(SAS)",Remove,FC,38,17,74,29.1,15.1,9.8,3,1.9,0.6,0.49,0,0.73,2.1,7.6,2.1,31.9,93,28.2,0.97
"Michael Carter-Williams *
(PHI)",Remove,G,22,1,70,34.5,16.7,6.2,6.3,0.6,1.8,0.44,0.26,0.7,1.4,4.8,3.5,30.1,93,28.1,0.81
"Isaiah Thomas
(PHO)",Remove,G,25,3,72,34.6,20.3,2.9,6.3,0.1,1.3,0.5,0.35,0.85,0.7,2.3,3,52.7,93,28,0.81
"Rudy Gay
(SAC)",Remove,F,28,8,73,34.7,20,6,2.9,0.8,1.3,0.48,0.33,0.82,1.5,4.4,3.1,45.3,85,27.8,0.8
"Kemba Walker
(CHA)",Remove,G,24,3,73,35.8,17.7,4.2,6.1,0.4,1.2,0.42,0.33,0.84,0.5,3.7,2.3,45.4,89,27.3,0.76
"Dwyane Wade
(MIA)",Remove,G,32,11,54,32.9,19,4.5,4.7,0.5,1.5,0.56,0.28,0.73,1.1,3.4,3,36.5,93,27.2,0.83
"Monta Ellis
(DAL)",Remove,G,28,9,82,36.9,19,3.6,5.7,0.3,1.7,0.48,0.33,0.79,0.5,3.1,3.2,50.9,86,27.1,0.74
"Ryan Anderson *
(NOR)",Remove,F,26,6,22,36.1,19.8,6.4,0.8,0.3,0.5,0.46,0.41,0.95,3,3.5,0.9,70.5,78,26.9,0.74
"Nikola Vucevic *
(ORL)",Remove,C,23,3,57,31.8,14.2,11,1.8,0.8,1.1,0.51,0,0.77,3.2,7.7,2,37.1,93,26.9,0.85
"DeAndre Jordan
(LAC)",Remove,C,26,6,82,35,10.4,13.6,0.9,2.5,1,0.68,0,0.43,4,9.5,1.5,38.8,86,26.9,0.77
"Thaddeus Young
(MIN)",Remove,F,26,7,79,34.4,17.9,6,2.3,0.5,2.1,0.5,0.31,0.71,2.1,3.9,2.1,52.6,81,26.8,0.78
"Serge Ibaka
(OKL)",Remove,FC,24,5,81,32.9,15.1,8.8,1,2.7,0.5,0.55,0.38,0.78,2.8,6,1.5,25.8,96,26.6,0.81
"Josh Smith
(DET)",Remove,F,28,10,77,35.5,16.4,6.8,3.3,1.4,1.4,0.46,0.26,0.53,1.3,5.4,2.6,54.4,89,26.6,0.75
"Nikola Pekovic
(MIN)",Remove,C,28,4,54,30.8,17.5,8.7,0.9,0.4,0.6,0.54,0,0.75,3.8,4.9,1.6,43.6,89,26.5,0.86
"Eric Bledsoe
(PHO)",Remove,G,24,4,43,32.9,17.7,4.7,5.5,0.3,1.6,0.52,0.36,0.77,0.6,4.1,3.3,56.6,89,26.5,0.8
"Greg Monroe
(DET)",Remove,FC,24,4,82,32.8,15.2,9.3,2.1,0.6,1.1,0.5,0,0.66,3.1,6.1,2,39.2,86,26.2,0.8
"Marc Gasol
(MEM)",Add,C,29,6,59,33.5,14.6,7.2,3.7,1.3,1,0.48,0.18,0.77,1.4,5.8,1.9,34.8,96,25.8,0.77
"Mike Conley
(MEM)",Remove,G,26,7,73,33.5,17.2,2.9,6,0.2,1.5,0.48,0.36,0.82,0.6,2.4,2.1,58.9,81,25.8,0.77
"Chandler Parsons
(DAL)",Remove,F,25,3,74,37.6,16.6,5.5,4,0.4,1.2,0.53,0.37,0.74,0.9,4.6,1.9,58.9,89,25.8,0.69
"Gordon Hayward
(UTA)",Remove,GF,24,4,77,36.3,16.2,5.1,5.2,0.5,1.4,0.45,0.3,0.82,0.8,4.3,2.8,51.9,85,25.7,0.71
"Jrue Holiday *
(NOR)",Add,G,24,5,34,33.6,14.3,4.2,7.9,0.4,1.6,0.46,0.39,0.81,0.8,3.4,3.1,57,89,25.3,0.75
"Rajon Rondo
(BOS)",Remove,G,28,8,30,33.3,11.7,5.5,9.8,0.1,1.3,0.44,0.29,0.63,0.7,4.7,3.3,39.9,89,25,0.75
"Brandon Jennings
(DET)",Remove,G,24,5,80,34.1,15.5,3,7.6,0.1,1.3,0.4,0.34,0.75,0.7,2.3,2.7,60.8,78,24.9,0.73
"Marcin Gortat
(WAS)",Remove,C,30,7,81,32.8,13.2,9.5,1.7,1.5,0.5,0.54,1,0.69,2.5,7,1.6,52.1,85,24.8,0.76
"Nicolas Batum
(POR)",Remove,GF,25,6,82,36.1,13,7.5,5.1,0.7,0.9,0.57,0.36,0.8,1.4,6,2.5,47.9,86,24.7,0.68
"Brandon Knight
(MIL)",Add,G,22,3,73,33,17.7,3.5,4.8,0.2,0.9,0.47,0.33,0.8,0.6,2.9,2.6,70,70,24.6,0.75
"Chris Bosh
(MIA)",Remove,FC,30,11,79,32,16.2,6.6,1.1,1,1,0.57,0.34,0.82,1.2,5.4,1.6,30,85,24.4,0.76
"Jeff Teague
(ATL)",Remove,G,26,5,79,32.2,16.5,2.6,6.7,0.2,1.1,0.47,0.33,0.85,0.4,2.2,2.9,62.4,78,24.2,0.75
"Luol Deng
(MIA)",Remove,F,29,10,63,35.1,16,5.7,2.9,0.1,1,0.47,0.3,0.79,1.6,4.2,1.8,65.5,81,24,0.68
"Spencer Hawes
(LAC)",Remove,C,26,7,80,30.9,13.2,8.2,3,1.2,0.6,0.48,0.42,0.78,1.6,6.6,2.2,80.4,77,24,0.78
"Derrick Favors
(UTA)",Remove,FC,23,4,73,30.2,13.3,8.7,1.2,1.5,1,0.52,0,0.67,2.7,6,1.8,44.2,93,24,0.8
"Arron Afflalo
(DEN)",Add,GF,28,7,73,34.9,18.2,3.6,3.4,0,0.5,0.47,0.43,0.82,0.4,3.2,2,78.5,66,23.7,0.68
"Bradley Beal
(WAS)",Remove,G,21,2,73,34.6,17.1,3.7,3.4,0.2,1,0.43,0.4,0.79,0.7,3,1.8,68.1,81,23.7,0.68
"Lance Stephenson
(CHA)",Remove,G,24,4,78,35.2,13.8,7.2,4.6,0.1,0.7,0.54,0.35,0.71,1.2,5.9,2.7,57.1,81,23.7,0.67
"David West
(IND)",Remove,F,34,11,80,30.9,14,6.8,2.8,0.9,0.8,0.49,0.27,0.79,1.5,5.3,1.7,63.5,86,23.6,0.76
"Kevin Martin
(MIN)",Remove,G,31,10,68,32,19.1,3,1.8,0.1,1,0.45,0.39,0.89,0.5,2.5,1.6,87,62,23.4,0.73
"Klay Thompson
(GSW)",Remove,G,24,3,81,35.4,18.4,3.1,2.2,0.5,0.9,0.46,0.42,0.79,0.5,2.6,1.7,79.5,77,23.4,0.66
"Kenneth Faried
(DEN)",Remove,F,24,3,80,27.2,13.7,8.5,1.2,0.8,0.9,0.55,0,0.65,3,5.6,1.7,45.8,85,23.4,0.86
"Tyreke Evans *
(NOR)",Remove,GF,24,5,72,28.1,14.5,4.7,5,0.3,1.2,0.46,0.22,0.77,1.1,3.7,2.4,65.8,81,23.3,0.83
"Jamal Crawford
(LAC)",Add,G,34,14,69,30.3,18.6,2.3,3.2,0.2,0.9,0.46,0.36,0.87,0.5,1.8,2,80.5,69,23.2,0.76
"Trevor Ariza
(HOU)",Remove,F,29,10,77,35.4,14.4,6.2,2.5,0.3,1.6,0.51,0.41,0.77,1.3,4.9,1.7,86.2,74,23.2,0.66
"Tony Parker
(SAS)",Add,G,32,13,68,29.4,16.7,2.3,5.7,0.1,0.5,0.51,0.37,0.81,0.3,2,2.2,50.8,86,23.1,0.78
"Tobias Harris
(ORL)",Remove,F,22,3,61,30.3,14.6,7,1.3,0.4,0.7,0.51,0.25,0.81,1.4,5.5,1.3,88.6,69,22.7,0.75
"Carlos Boozer
(LAL)",Remove,F,32,12,76,28.2,13.7,8.3,1.6,0.3,0.7,0.46,0,0.77,1.8,6.5,2,80.8,86,22.6,0.8
"Nene Hilario
(WAS)",Remove,FC,32,12,53,29.5,14.2,5.5,2.9,0.9,1.2,0.51,0.2,0.58,1.2,4.3,2.2,64.5,86,22.6,0.77
"Deron Williams *
(BKL)",Remove,G,30,9,64,32.1,14.3,2.6,6.1,0.2,1.5,0.5,0.37,0.8,0.2,2.4,2.2,63.8,77,22.5,0.7
"Jared Sullinger
(BOS)",Remove,FC,22,2,74,27.6,13.3,8.1,1.6,0.7,0.5,0.47,0.27,0.78,3.3,4.9,1.6,60.8,86,22.5,0.82
"Jeff Green
(BOS)",Add,F,27,6,82,34.2,16.9,4.6,1.7,0.6,0.7,0.45,0.34,0.79,0.7,4,2,91.5,58,22.4,0.65
"Kawhi Leonard
(SAS)",Remove,GF,23,3,66,29.2,12.8,6.2,2,0.7,1.7,0.58,0.38,0.8,1.2,5.1,1.2,45.9,81,22.3,0.76
"Wes Matthews
(POR)",Remove,GF,27,5,82,33.9,16.4,3.5,2.4,0.2,0.9,0.49,0.39,0.84,0.6,2.9,1.3,94.9,58,22.1,0.65
"Ricky Rubio
(MIN)",Remove,G,23,3,82,32.1,9.5,4.2,8.6,0.1,2.3,0.39,0.33,0.8,0.7,3.4,2.7,58,96,22,0.68
"JJ Hickson *
(DEN)",Remove,FC,26,6,69,27,11.8,9.2,1.4,0.7,0.7,0.51,0,0.52,3,6.2,1.8,82.5,81,21.9,0.81
"Robin Lopez
(POR)",Remove,C,26,6,82,31.8,11.1,8.5,0.9,1.7,0.3,0.55,0,0.82,4,4.5,1,86.5,74,21.5,0.68
"Jimmy Butler
(CHI)",Remove,GF,24,3,67,38.7,13.1,4.9,2.6,0.5,1.9,0.46,0.28,0.77,1.3,3.6,1.5,95.2,66,21.5,0.56
"Nick Young
(LAL)",Remove,GF,29,7,64,28.4,17.9,2.6,1.5,0.2,0.7,0.47,0.39,0.82,0.5,2.1,1.5,116.8,59,21.4,0.75
"Tristan Thompson
(CLE)",Remove,F,23,3,82,31.6,11.7,9.2,0.9,0.4,0.5,0.48,0,0.69,3.3,5.9,1.3,117.7,51,21.4,0.68
"Terrence Jones
(HOU)",Remove,F,22,2,76,27.4,12.1,6.9,1.1,1.3,0.7,0.58,0.3,0.61,2.1,4.8,0.9,83.1,70,21.3,0.78
"Markieff Morris
(PHO)",Remove,F,25,3,81,26.6,13.8,6,1.8,0.6,0.8,0.51,0.31,0.79,1.7,4.3,1.8,77.1,70,21.2,0.8
"Joe Johnson
(BKL)",Remove,GF,33,13,79,32.6,15.8,3.4,2.7,0.1,0.6,0.49,0.4,0.82,0.6,2.8,1.5,99.1,66,21.1,0.65
"JR Smith
(NYK)",Remove,G,29,10,74,32.7,14.5,4,3,0.3,0.9,0.44,0.39,0.65,0.5,3.5,1.5,102.9,59,21.1,0.64
"Taj Gibson
(CHI)",Add,F,29,5,82,28.7,13,6.8,1.1,1.3,0.5,0.48,0,0.75,2.4,4.4,1.8,115.6,69,21,0.73
"Victor Oladipo
(ORL)",Remove,G,22,1,80,31.1,13.8,4.1,4.1,0.5,1.6,0.45,0.33,0.78,0.5,3.6,3.2,66.7,81,20.9,0.67
"Jameer Nelson
(DAL)",Add,G,32,10,68,32,12.1,3.4,7,0.1,0.8,0.44,0.35,0.86,0.4,3,2.4,135.1,51,20.9,0.65
"Anderson Varejao
(CLE)",Remove,C,31,10,65,27.7,8.4,9.7,2.2,0.6,1.1,0.5,0,0.68,2.9,6.8,1.1,87.5,78,20.8,0.75
"Evan Turner
(BOS)",Add,GF,25,4,80,30.2,14,5,3.2,0.1,0.8,0.45,0.32,0.81,0.8,4.3,2.4,95.6,66,20.8,0.69
"Derrick Rose *
(CHI)",Remove,G,25,6,10,31.1,15.9,3.2,4.3,0.1,0.5,0.36,0.34,0.84,0.9,2.3,3.4,34.2,78,20.6,0.66
"Dion Waiters
(CLE)",Add,G,22,2,70,29.6,15.9,2.8,3,0.2,0.9,0.45,0.37,0.69,0.4,2.3,2.2,131.7,59,20.6,0.7
"John Henson
(MIL)",Remove,FC,23,2,70,26.5,11.1,7.1,1.6,1.7,0.6,0.54,0,0.51,2.4,4.7,1.6,78,74,20.5,0.77
"Eric Gordon *
(NOR)",Remove,G,25,6,64,32.1,15.4,2.6,3.2,0.2,1.2,0.46,0.39,0.78,0.5,2.1,2.1,110.5,54,20.5,0.64
"Jonas Valanciunas
(TOR)",Remove,C,22,2,81,28.2,11.3,8.8,0.7,0.9,0.3,0.53,0,0.76,2.8,6,1.7,68.3,77,20.3,0.72
"Trey Burke
(UTA)",Add,G,21,1,70,32.3,12.8,3,5.7,0.1,0.6,0.41,0.33,0.9,0.5,2.4,1.9,94.6,62,20.2,0.63
"Reggie Jackson
(OKL)",Remove,G,24,3,80,28.5,13.1,3.9,4.1,0.1,1.1,0.48,0.34,0.89,0.5,3.4,2.1,103.1,62,20.2,0.71
"Wilson Chandler
(DEN)",Add,F,27,7,62,30.9,13.6,4.7,1.8,0.5,0.7,0.48,0.35,0.72,0.9,3.8,1.3,143.6,54,20.2,0.65
"Kobe Bryant *
(LAL)",Remove,GF,36,18,6,29.5,13.8,4.3,6.3,0.2,1.2,0.49,0.19,0.86,0.3,4,5.7,39.5,86,20.2,0.68
"Gerald Henderson *
(CHA)",Add,GF,26,5,77,31.9,14,4,2.6,0.4,0.6,0.44,0.35,0.76,0.4,3.6,1.5,128.9,43,20.2,0.63
"Gerald Green
(PHO)",Remove,GF,28,7,82,28.4,15.8,3.3,1.5,0.5,0.9,0.49,0.4,0.85,0.6,2.8,1.8,114.4,69,20.2,0.71
"Andrew Bogut
(GSW)",Remove,C,29,9,67,26.4,7.3,10,1.7,1.8,0.7,0.63,0,0.34,2.7,7.3,1.4,78.9,81,20.1,0.76
"Jodie Meeks
(DET)",Add,G,27,5,77,33.2,15.7,2.5,1.8,0.1,1.4,0.51,0.4,0.86,0.4,2.1,1.4,125.1,42,20.1,0.61
"Paul Pierce
(WAS)",Remove,F,36,16,75,28,13.5,4.6,2.4,0.4,1.1,0.51,0.37,0.83,0.3,4.3,2,100.1,70,20,0.71
"Tyson Chandler
(DAL)",Remove,C,31,13,55,30.3,8.7,9.6,1.1,1.1,0.7,0.6,0,0.63,2.9,6.7,1.3,79.5,74,20,0.66
"Andrea Bargnani *
(NYK)",Remove,FC,28,8,42,29.8,13.3,5.3,1.1,1.2,0.3,0.49,0.28,0.82,1.7,3.6,1.4,108,54,19.8,0.66
"Enes Kanter
(UTA)",Remove,C,22,3,80,26.7,12.3,7.5,0.9,0.5,0.4,0.49,0,0.73,2.8,4.7,1.8,87.8,66,19.8,0.74
"Avery Bradley
(BOS)",Remove,G,23,4,60,30.9,14.8,3.8,1.4,0.2,1.1,0.45,0.4,0.8,0.8,3,1.6,142.4,43,19.7,0.64
"Roy Hibbert
(IND)",Remove,C,27,6,81,29.7,10.8,6.6,1.1,2.2,0.4,0.44,0.4,0.77,2.5,4.1,1.8,67.8,78,19.3,0.65
"JJ Redick
(LAC)",Remove,G,30,8,35,28.2,15.2,2.1,2.3,0.1,0.8,0.51,0.39,0.92,0.3,1.9,1.2,135,51,19.3,0.68
